PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,Season,Team_Wins,Draft_Pick,Season_End_Year,winner
101137,Daniel Ewing,Daniel,1610612746,LAC,23.0,66,39,27,0.591,14.7,1.5,3.9,0.38,0.3,1.2,0.282,0.5,0.7,0.783,0.3,0.9,1.3,1.3,0.9,0.6,0.1,0.1,1.3,0.6,3.8,-0.9,8.4,0,0,8.0,20,4,29,21,29,33,28,67,23,21,30,47,51,26,55,55,56,15,29,20,47,66,46,51,33,44,33,23,2,34,1,2005-06,,,2006,0
101122,Danny Granger,Danny,1610612754,IND,23.0,78,39,39,0.5,22.6,2.8,6.1,0.462,0.4,1.2,0.323,1.5,1.9,0.777,1.7,3.2,4.9,1.2,1.0,0.7,0.8,0.4,2.7,1.8,7.5,-0.7,18.8,6,0,17.1,11,4,21,33,10,15,15,24,20,20,25,14,13,28,5,6,5,20,24,7,2,20,10,12,15,38,8,6,2,8,1,2005-06,,,2006,0
101135,David Lee,David,1610612752,NYK,23.0,67,21,46,0.313,16.8,2.0,3.4,0.598,0.0,0.0,0.0,1.1,1.8,0.577,1.6,2.9,4.5,0.6,0.8,0.4,0.3,0.3,1.9,1.4,5.1,-1.6,13.0,4,0,11.8,18,29,11,69,24,27,30,8,53,61,53,23,14,65,8,10,9,39,33,28,20,29,24,18,28,63,20,8,2,24,1,2005-06,,,2006,0
101184,Deng Gai,Deng,1610612755,PHI,24.0,2,0,2,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,0,0,0.0,82,84,76,84,81,83,84,83,53,61,53,77,78,77,81,82,83,79,82,78,63,78,83,82,83,61,84,23,2,84,1,2005-06,,,2006,0
101114,Deron Williams,Deron,1610612762,UTA,22.0,80,39,41,0.488,28.8,4.2,10.1,0.421,1.1,2.7,0.416,1.2,1.7,0.704,0.4,2.0,2.4,4.5,1.8,0.8,0.2,0.8,2.9,2.0,10.8,-1.3,21.5,5,0,20.8,3,4,19,40,5,5,4,40,5,6,6,19,18,44,43,18,20,4,4,6,31,2,5,8,5,56,6,7,2,6,1,2005-06,,,2006,0
2583,Derrick Zimmerman,Derrick,1610612751,NJN,24.0,2,0,2,0.0,15.9,1.0,1.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,3.5,2.0,0.0,0.0,0.0,2.0,0.5,2.0,-5.5,7.7,0,0,7.5,82,84,76,84,25,48,70,4,53,61,53,77,78,77,35,29,35,5,3,78,63,78,20,55,61,81,36,23,2,36,1,2005-06,,,2006,0
101209,Devin Green,Devin,1610612747,LAL,23.0,27,13,14,0.481,5.0,0.2,1.0,0.214,0.0,0.1,0.0,0.5,0.8,0.619,0.4,0.5,0.9,0.3,0.2,0.1,0.0,0.1,0.5,0.4,0.9,-1.6,2.5,0,0,2.3,46,46,45,42,75,82,76,81,53,54,53,50,50,62,51,71,68,63,78,70,63,63,76,63,80,64,77,23,2,79,1,2005-06,,,2006,0
101159,Dijon Thompson,Dijon,1610612756,PHX,23.0,10,8,2,0.8,4.3,1.1,2.5,0.44,0.4,1.1,0.364,0.2,0.2,1.0,0.4,0.7,1.1,0.1,0.2,0.3,0.1,0.1,0.6,0.3,2.8,-1.2,5.3,0,0,5.2,74,62,76,5,79,44,47,35,18,22,12,71,76,1,48,63,60,78,76,46,45,73,71,75,45,54,56,23,2,52,1,2005-06,,,2006,0
101182,Donell Taylor,Donell,1610612764,WAS,23.0,51,27,24,0.529,9.1,1.0,2.7,0.39,0.1,0.3,0.235,0.6,0.8,0.698,0.3,0.7,1.0,0.9,0.7,0.6,0.1,0.2,0.9,0.6,2.7,0.2,6.6,0,0,6.1,31,16,33,29,46,47,43,62,45,44,37,44,46,49,58,62,63,27,37,17,51,59,61,52,47,14,45,23,2,44,1,2005-06,,,2006,0
101204,Dwayne Jones,Dwayne,1610612738,BOS,23.0,14,7,7,0.5,6.2,0.3,0.7,0.4,0.0,0.0,0.0,0.4,0.9,0.462,0.7,1.5,2.2,0.1,0.2,0.1,0.2,0.1,1.0,0.7,1.0,1.4,4.5,0,0,3.9,69,64,65,33,67,80,80,54,53,61,53,52,43,71,26,29,24,73,75,75,29,64,58,43,77,4,63,23,2,67,1,2005-06,,,2006,0
